id_perevozki,data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,kategorija_perevozki,rasstoyanie_km,gos_nomer_avto,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,id_voditelya,fio_voditelya,kompaniya_perevozchik,punkt_zagruzki,gorod_zagruzki,region_zagruzki,punkt_razgruzki,gorod_razgruzki,region_razgruzki,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,otklonenie_ot_plana_chas,tarif_summa,sebestoimost_perevozki,pribyl,tonnazh_gruza_tonn,obem_gruza_m3,protsent_zagruzki_tonn,protsent_zagruzki_obem,kolichestvo_pozitsiy,kommentariy_perevozki,nalichie_dokumentov
P-000015,2025-07-14 00:07:24,Доставлена,РАО «Исаева-Стрелков»,Восточная техника (Vost-Tech),Сырье,Междугородняя,1825.89,О198ОТ77,ГАЗель Next,Бортовой,25.0,VOD-5061,Горшков Радован Денисович,Субподрядчик,"д. Верхотурье, ул. Ильича, д. 533 к. 5/1, 910148",Красноярск,Красноярский край,"г. Сосновый Бор, алл. Ветеранов, д. 243, 292519",Пермь,Пермский край,2025-07-07 19:16:35,2025-08-28 18:22:58,2025-07-23 22:57:56,-859.42,217399.47,161744.15,55655.32,18.61,61.39,0.74,0.64,59,,Проблема
P-000016,2025-08-06 23:08:44,Запланирована,"ЗАО «Бурова, Степанова и Тарасов»",Трофимов Лимитед,Опасный груз,Междугородняя,4492.58,Т193ОР77,Volvo FH,Цистерна,5.0,VOD-4276,Романов Агап Августович,Собственный парк,"с. Верхний Тагил, пер. Воронежский, д. 57, 278647",Уфа,Республика Башкортостан,"к. Шенкурск, пер. Труда, д. 92 стр. 49, 862675",Сочи,Краснодарский край,2025-08-01 19:59:20,2025-08-29 07:10:59,2025-08-24 02:08:10,-125.05,592241.08,479992.72,112248.36,3.27,9.64,0.65,0.87,71,,Ожидание
P-000017,2025-07-23 04:36:52,Доставлена,"НПО «Копылова, Исаев и Мишина»","ОАО «Гаврилов, Фомичев и Ларионов»",ТНП,Междугородняя,3421.88,Х331ХЕ77,MAN TGS,Цистерна,10.0,VOD-6864,Наум Григорьевич Федотов,Субподрядчик,"п. Домбай, наб. Космодемьянской, д. 92, 891193",Челябинск,Челябинская область,"г. Красноуральск, пр. Фадеева, д. 252, 908326",Сочи,Краснодарский край,2025-07-28 05:03:50,2025-08-28 20:10:03,2025-07-22 07:58:12,-900.2,454759.2,309649.7,145109.5,7.62,25.06,0.76,0.92,21,,Полный пакет
P-000018,2025-07-20 06:09:08,Доставлена,"ОАО «Александрова, Назаров и Горшкова»",Калинин Лтд,ТНП,Междугородняя,2153.15,У723ОМ77,Scania R-series,Фургон,20.0,VOD-8936,Синклитикия Вадимовна Уварова,Собственный парк,"д. Ялуторовск, ул. Славянская, д. 9, 396891",Воронеж,Воронежская область,"г. Губкин, наб. Чайковского, д. 65 к. 8/4, 066647",Пермь,Пермский край,2025-07-30 20:20:32,2025-08-23 21:34:14,2025-07-06 20:10:38,-1153.39,264553.34,219076.57,45476.77,11.02,32.62,0.55,0.82,15,,Полный пакет
P-000019,2025-08-23 03:05:43,Доставлена,Беляков Инк,"ЗАО «Медведев, Силина и Фомичева»",Продукты питания,Международная,1285.82,В953ОЕ77,КАМАЗ 5490,Цистерна,5.0,VOD-8549,Таисия Ефимовна Филатова,Собственный парк,"ст. Данков, пр. Дачный, д. 8/2 стр. 640, 047027",Воронеж,Воронежская область,"ст. Баксан, пер. Магистральный, д. 286 стр. 220, 802516",Екатеринбург,Свердловская область,2025-07-13 16:41:22,2025-07-28 05:24:39,2025-07-06 17:54:40,-515.5,147107.01,94672.96,52434.05,4.59,15.97,0.92,0.86,3,,Проблема
P-000020,2025-08-23 12:19:26,Доставлена,Попова Лтд,ТЭК СПБ,Продукты питания,Междугородняя,4314.02,С169НВ77,Scania R-series,Цистерна,25.0,VOD-6451,Соколов Лазарь Терентьевич,Субподрядчик,"п. Бирск, ул. Солнечная, д. 9/8 стр. 9, 934298",Омск,Омская область,"клх Когалым, пер. Павлика Морозова, д. 6/1, 591205",Казань,Республика Татарстан,2025-07-05 22:13:20,2025-08-19 21:05:39,2025-08-02 00:23:10,-428.71,485129.68,326982.04,158147.64,18.12,58.86,0.72,1.0,57,,Проблема
P-000021,2025-07-28 21:15:00,Запланирована,Дьячкова и партнеры,"НПО «Субботина, Ширяев и Сидорова»",Оборудование,Междугородняя,1884.89,С375ОК77,Scania R-series,Рефрижератор,10.0,VOD-8836,Самойлова Екатерина Дмитриевна,Собственный парк,"п. Уренгой, ул. Красноярская, д. 3/2, 892306",Москва,Московская область,"клх Ступино, наб. Малая, д. 4 стр. 7, 577499",Уфа,Республика Башкортостан,2025-08-03 18:47:45,2025-08-15 18:56:49,2025-08-01 08:07:17,-346.83,214144.85,141800.76,72344.09,9.21,31.65,0.92,0.69,11,,Полный пакет
P-000022,2025-07-31 05:29:19,Доставлена,ОАО «Николаев-Герасимов»,Блинова Групп,Стройматериалы,Междугородняя,3531.16,Т219ТВ77,ГАЗель Next,Цистерна,25.0,VOD-7627,Нифонт Давыдович Селезнев,Собственный парк,"п. Черский, наб. Серова, д. 6 стр. 3/8, 665366",Уфа,Республика Башкортостан,"клх Смоленск, ул. Элеваторная, д. 467 к. 8, 717887",Екатеринбург,Свердловская область,2025-07-11 07:21:35,2025-07-18 17:33:34,2025-07-01 03:49:44,-421.73,493000.72,367495.87,125504.85,16.74,54.28,0.67,0.92,72,,Полный пакет
P-000023,2025-07-01 22:38:03,В пути,"ИП «Егоров, Богданов и Колесникова»",Дорофеев Инкорпорэйтед,ТНП,Междугородняя,3856.02,С690КМ77,MAN TGS,Бортовой,5.0,VOD-1271,Якушева Раиса Геннадиевна,Собственный парк,"п. Камышин, ш. Путейское, д. 51, 504532",Пермь,Пермский край,"п. Плесецк, пер. Шевченко, д. 2 стр. 6, 009362",Челябинск,Челябинская область,2025-07-05 10:06:10,2025-07-31 20:12:19,2025-08-29 17:11:57,692.99,555975.61,373125.99,182849.62,4.34,14.61,0.87,0.88,100,,Ожидание
P-000024,2025-07-29 00:50:28,Проблемная,ОАО «Петухов-Шубина»,Октоблу (Decathlon),Оборудование,Междугородняя,1492.06,Н447МА77,КАМАЗ 5490,Рефрижератор,20.0,VOD-3290,Анжела Дмитриевна Ефимова,Собственный парк,"ст. Алексин, алл. Физкультурная, д. 4/9, 839838",Пермь,Пермский край,"п. Новосибирск, пр. Мира, д. 513 стр. 803, 784505",Екатеринбург,Свердловская область,2025-07-29 12:07:27,2025-08-17 07:43:00,2025-07-10 07:27:12,-912.26,151998.78,123644.79,28353.99,12.73,35.21,0.64,0.63,85,,Ожидание
P-000025,2025-08-09 10:56:02,Доставлена,ОАО «Симонов»,РАО «Григорьева Евдокимов»,ТНП,Междугородняя,720.07,О761СК77,Volvo FH,Фургон,10.0,VOD-1433,Моисеев Бажен Вячеславович,Собственный парк,"к. Сладково, бул. Главный, д. 7 стр. 71, 063375",Красноярск,Красноярский край,"г. Южно-Курильск, ул. Дружбы, д. 42 к. 5, 841677",Хабаровск,Хабаровский край,2025-07-11 03:36:25,2025-08-17 16:01:35,2025-07-30 10:04:37,-437.95,75387.22,61198.56,14188.66,6.22,15.92,0.62,0.82,40,,Полный пакет
P-000026,2025-07-09 06:12:32,В пути,НПО «Меркушев Овчинников»,"ЗАО «Шубина, Дорофеева и Русаков»",ТНП,Международная,1210.95,А107УУ77,КАМАЗ 5490,Тент,20.0,VOD-2457,Филимон Владиленович Сазонов,Собственный парк,"п. Томск, ш. Геологическое, д. 9 стр. 909, 806232",Петрозаводск,Республика Карелия,"с. Кузнецк, пр. Рязанский, д. 983, 930446",Калининград,Калининградская область,2025-07-20 08:41:41,2025-07-28 09:04:29,2025-07-13 09:50:31,-359.23,152895.54,134907.77,17987.77,10.94,33.32,0.55,0.71,40,,Ожидание
P-000027,2025-07-22 13:38:18,Доставлена,ЗАО «Русаков-Воронова»,ГК Агро-Белогорье,Опасный груз,Международная,1591.61,Н812НУ77,Scania R-series,Фургон,20.0,VOD-7270,Кулагин Вышеслав Измаилович,Собственный парк,"ст. Череповец, алл. Победа, д. 2/5 к. 673, 263508",Ростов-на-Дону,Ростовская область,"д. Кингисепп, бул. Краснодарский, д. 5 к. 92, 934888",Пермь,Пермский край,2025-07-09 23:00:45,2025-07-15 22:36:53,2025-08-18 19:16:28,812.66,192868.82,160729.88,32138.94,14.59,41.09,0.73,0.91,30,,Полный пакет
P-000028,2025-08-10 14:28:28,В пути,"АО «Павлова, Королев и Красильникова»",Бобылев Инкорпорэйтед,Продукты питания,Междугородняя,3420.98,Р637ТР77,MAN TGS,Фургон,5.0,VOD-9910,тов. Филатова Елизавета Филипповна,Собственный парк,"ст. Троицко-Печорск, ш. Энергетическое, д. 60 к. 1/6, 104955",Москва,Московская область,"клх Шатки, ш. 30 лет Победы, д. 9/1 к. 83, 531850",Казань,Республика Татарстан,2025-07-17 13:03:35,2025-07-24 10:13:05,2025-07-31 16:15:39,174.04,442476.4,394961.45,47514.95,4.25,10.91,0.85,0.93,13,,Ожидание
P-000029,2025-08-26 05:10:38,Доставлена,Банковский холдинг Альфа-банка,"НПО «Егоров, Гордеев и Кудрявцев»",Продукты питания,Междугородняя,4779.08,А363АК77,КАМАЗ 5490,Рефрижератор,5.0,VOD-7702,Ефрем Гордеевич Маслов,Собственный парк,"ст. Орехово-Зуево, пер. Ермака, д. 85, 839385",Нижний Новгород,Нижегородская область,"к. Омск, ш. Техническое, д. 2/5 стр. 7/3, 937590",Ростов-на-Дону,Ростовская область,2025-07-30 03:11:11,2025-07-30 23:20:10,2025-07-11 14:28:36,-464.86,707115.49,455821.06,251294.43,3.55,9.87,0.71,0.97,4,,Ожидание
P-000030,2025-08-26 00:19:57,Доставлена,Капустин и партнеры,ИП «Лихачев»,Продукты питания,Междугородняя,2894.52,В409МР77,Scania R-series,Цистерна,20.0,VOD-9945,Юлия Валентиновна Носова,Субподрядчик,"клх Туапсе, наб. Дорожников, д. 25 стр. 7, 542969",Калининград,Калининградская область,"г. Архыз, пр. Дальний, д. 5, 347521",Владивосток,Приморский край,2025-07-12 12:06:01,2025-08-18 06:18:15,2025-07-08 09:13:51,-981.07,332556.17,232362.32,100193.85,16.55,47.2,0.83,0.64,20,,Проблема
P-000031,2025-08-13 05:25:35,Доставлена,Самойлова Лимитед,Форд Соллерс Холдинг,ТНП,Междугородняя,4540.86,Т307ОТ77,Volvo FH,Рефрижератор,10.0,VOD-4159,Петров Родион Арсенович,Субподрядчик,"к. Калининград, бул. Стадионный, д. 8 к. 541, 419547",Омск,Омская область,"ст. Москва, МГУ, наб. Репина, д. 36, 586664",Мурманск,Мурманская область,2025-07-26 09:22:39,2025-08-21 18:50:24,2025-07-01 07:43:05,-1235.12,627452.16,504505.93,122946.23,9.59,24.21,0.96,0.63,53,,Полный пакет
P-000032,2025-08-03 22:21:56,В пути,Мессояханефтегаз,Жданова и партнеры,Стройматериалы,Междугородняя,1387.19,Е969УС77,MAN TGS,Цистерна,25.0,VOD-6236,Медведева Алла Константиновна,Собственный парк,"д. Ачхой Мартан, наб. Петровская, д. 25 к. 831, 374832",Воронеж,Воронежская область,"клх Красная Поляна, алл. Лазо, д. 4/2 стр. 8/6, 186500",Калининград,Калининградская область,2025-08-18 19:34:32,2025-08-26 23:17:05,2025-08-03 21:56:32,-553.34,196139.65,128550.9,67588.75,12.6,33.91,0.5,0.64,11,,Ожидание
P-000033,2025-07-17 10:07:00,Запланирована,ОАО «Кошелева Пахомов»,Эйч Энд Эм (H&M),Продукты питания,Междугородняя,4045.79,Е285РА77,Volvo FH,Фургон,25.0,VOD-4605,Аверкий Жанович Мясников,Собственный парк,"п. Любань, наб. Зеленая, д. 35, 764934",Сочи,Краснодарский край,"к. Троицк (Моск.), пр. Высокий, д. 50 к. 98, 562886",Петрозаводск,Республика Карелия,2025-07-19 20:34:02,2025-07-30 14:15:27,2025-07-15 06:06:07,-368.16,575477.26,462335.06,113142.2,19.45,51.57,0.78,0.61,53,,Полный пакет
P-000034,2025-08-11 15:23:22,Доставлена,НПО «Кулагин-Воробьева»,ЗАО «Чернов Доронина»,ТНП,Международная,2500.92,Т688НУ77,MAN TGS,Рефрижератор,20.0,VOD-4704,Лукия Олеговна Игнатова,Субподрядчик,"с. Октябрьское (Хант.), ул. Ивановская, д. 3/1, 088807",Волгоград,Волгоградская область,"клх Лодейное Поле, наб. Володарского, д. 3/6 стр. 4/1, 477679",Воронеж,Воронежская область,2025-07-20 07:10:02,2025-07-21 14:02:40,2025-08-09 03:16:56,445.24,350190.91,285792.1,64398.81,16.53,44.05,0.83,0.68,77,,Проблема
P-000035,2025-07-19 14:03:21,Доставлена,ОАО «Маслова Кондратьева»,ИП «Рябова»,Стройматериалы,Международная,3361.52,К259УН77,Scania R-series,Цистерна,25.0,VOD-4356,Романов Изот Ефстафьевич,Собственный парк,"ст. Северобайкальск, ул. Привольная, д. 9/2, 398665",Мурманск,Мурманская область,"п. Оленегорск (Якут.), ш. Зои Космодемьянской, д. 1 к. 934, 244289",Красноярск,Красноярский край,2025-08-06 17:42:46,2025-08-20 10:02:29,2025-07-15 00:41:04,-873.36,377000.47,292058.42,84942.05,17.81,44.82,0.71,0.84,66,,Проблема
P-000036,2025-08-16 15:57:38,Доставлена,Трубная грузовая компания,АО «Корнилов Якушев»,Стройматериалы,Междугородняя,3473.77,О877ЕС77,Scania R-series,Тент,20.0,VOD-6928,Евфросиния Рубеновна Журавлева,Собственный парк,"клх Усть-Ордынский, наб. Коммунистическая, д. 1/2 стр. 2/4, 893383",Калининград,Калининградская область,"к. Сузун, наб. Дорожников, д. 41, 652599",Мурманск,Мурманская область,2025-07-04 03:00:25,2025-07-10 03:25:19,2025-07-26 03:28:20,384.05,362665.46,291554.92,71110.54,13.1,43.28,0.66,0.69,69,,Проблема
P-000037,2025-07-29 18:50:36,Доставлена,ОАО «Богданов-Дроздова»,РАО «Киселева-Нестерова»,Оборудование,Международная,4488.21,Н881ЕУ77,Volvo FH,Цистерна,20.0,VOD-8829,Андреев Мир Эдгарович,Собственный парк,"г. Куртамыш, ш. Горняцкое, д. 36, 573406",Челябинск,Челябинская область,"к. Тайшет, алл. Толстого, д. 958, 471103",Владивосток,Приморский край,2025-07-11 14:25:50,2025-07-18 10:35:17,2025-08-28 10:18:36,983.72,551788.69,395884.17,155904.52,15.51,44.0,0.78,0.91,37,,Ожидание
P-000038,2025-07-26 18:07:26,Запланирована,Евдокимов Групп,ООО «Пахомов Лебедева»,Оборудование,Междугородняя,3225.89,В265ВВ77,КАМАЗ 5490,Фургон,5.0,VOD-3231,Романова Клавдия Евгеньевна,Собственный парк,"к. Сальск, пер. Кочубея, д. 274, 698291",Новосибирск,Новосибирская область,"с. Вытегра, бул. Челюскинцев, д. 21, 099375",Екатеринбург,Свердловская область,2025-07-26 09:38:49,2025-08-13 09:40:18,2025-08-20 09:52:25,168.2,391283.44,246656.24,144627.2,3.42,10.11,0.68,0.87,19,,Проблема
P-000039,2025-07-19 18:12:25,Доставлена,"ОАО «Федотов, Ковалев и Сафонова»",АО «Кудряшов-Молчанов»,Продукты питания,Международная,2787.92,У840МР77,MAN TGS,Фургон,10.0,VOD-5888,Анастасия Ефимовна Денисова,Субподрядчик,"к. Устюжна, наб. Заречная, д. 7/3 стр. 1, 218417",Екатеринбург,Свердловская область,"д. Лянтор, наб. Маяковского, д. 5/8, 880689",Челябинск,Челябинская область,2025-07-11 17:53:39,2025-08-12 06:31:38,2025-08-01 01:30:35,-269.02,300367.25,217425.98,82941.27,8.7,30.36,0.87,0.83,46,,Полный пакет
P-000040,2025-08-01 21:10:14,Запланирована,НПО «Князев»,Мухина Лимитед,Стройматериалы,Междугородняя,1010.15,У671ОО77,MAN TGS,Рефрижератор,20.0,VOD-5429,г-жа Силина Анастасия Васильевна,Собственный парк,"п. Ессентуки, пер. Бригадный, д. 6, 915391",Челябинск,Челябинская область,"клх Железногорск(Курск.), ш. Ульянова, д. 21 к. 789, 329296",Новосибирск,Новосибирская область,2025-08-14 12:43:59,2025-08-18 15:49:45,2025-08-21 08:12:45,64.38,131376.1,93538.38,37837.72,12.78,35.74,0.64,0.75,91,,Проблема
P-000041,2025-07-18 15:50:19,Отменена,ОАО «Архипов-Елисеева»,РАО «Анисимова-Молчанова»,Продукты питания,Междугородняя,1083.73,Е131ХА77,ГАЗель Next,Цистерна,20.0,VOD-7041,Устинов Тарас Якубович,Собственный парк,"клх Боровск, пер. Ангарский, д. 9/7 стр. 354, 208835",Челябинск,Челябинская область,"с. Кириши, ш. Кузнецова, д. 2, 602562",Новосибирск,Новосибирская область,2025-07-10 05:09:58,2025-08-30 09:14:06,2025-07-31 16:35:09,-712.65,140236.63,117834.04,22402.59,16.63,52.51,0.83,0.68,38,,Ожидание
P-000042,2025-08-08 14:43:03,Отменена,ИП «Горбунов-Герасимова»,"РАО «Соколова, Стрелкова и Кириллов»",Продукты питания,Междугородняя,4235.67,К109СН77,MAN TGS,Фургон,10.0,VOD-4262,Филатов Тит Бенедиктович,Собственный парк,"п. Можайск, пр. Попова, д. 9/9, 287835",Мурманск,Мурманская область,"с. Буденновск, ш. Иркутское, д. 8/5 к. 6/2, 314697",Челябинск,Челябинская область,2025-07-07 07:27:12,2025-08-29 13:22:37,2025-07-27 08:38:47,-796.73,488441.06,431588.0,56853.06,5.43,13.83,0.54,0.64,22,,Полный пакет
P-000043,2025-08-16 15:44:23,Доставлена,ЗАО «Русаков-Дроздов»,ИП «Евсеева-Силин»,Сырье,Междугородняя,1267.96,О983АК77,Volvo FH,Бортовой,10.0,VOD-4479,Трофимова Галина Георгиевна,Собственный парк,"к. Черняховск, ш. Логовое, д. 28 к. 3, 927286",Сочи,Краснодарский край,"г. Кажим, бул. Тупиковый, д. 6/1 к. 5/1, 135476",Пермь,Пермский край,2025-07-06 09:04:45,2025-07-23 11:48:11,2025-07-06 21:45:15,-398.05,137576.84,105615.96,31960.88,5.43,18.33,0.54,0.74,82,,Ожидание
P-000044,2025-07-23 23:27:21,Запланирована,ИП «Самсонова-Виноградов»,АО «Денисова»,Опасный груз,Международная,3206.34,Р461НТ77,Volvo FH,Цистерна,25.0,VOD-5742,Нинель Максимовна Белякова,Собственный парк,"д. Шатура, ул. Тургенева, д. 7/3 к. 342, 241413",Ростов-на-Дону,Ростовская область,"д. Серпухов, наб. Вавилова, д. 85, 535049",Казань,Республика Татарстан,2025-07-10 23:40:47,2025-08-14 19:02:45,2025-08-23 00:02:13,196.99,371869.17,280875.83,90993.34,19.82,68.37,0.79,0.82,73,,Полный пакет
